gameid,title,platform,developers,publishers,genres,supported_languages,release_date
698512,Horror Adventure VR,PS5,['Yash Future Tech Solutions'],['Yash Future Tech Solutions'],['Adventure'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Dutch', 'Portuguese', 'Russian', 'Chinese (traditional)']",2024-08-19
698511,Horror Adventure VR,PS5,['Yash Future Tech Solutions'],['Yash Future Tech Solutions'],['Adventure'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Dutch', 'Portuguese', 'Russian', 'Chinese (traditional)']",2024-08-19
698423,Axe Ace,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-15
698413,Learn to Play Vol. 5 - Break the Blocks,PS5,['eastasiasoft'],['eastasiasoft'],['Action'],,2024-08-23
698410,Dadish 3D,PS4,['Thomas K. Young'],['Thomas K. Young'],['Platformer'],,2024-08-16
698390,House of Golf 2,PS5,['Starlight Games'],['Starlight Games'],"['Sports', 'Golf']","['Spanish', 'German', 'Russian', 'Finnish', 'Norway', 'Polish', 'Turkish', 'French (Canada)', 'Czech', 'Hungarian', 'Romanian']",2024-08-16
698383,Axe Ace,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-15
698308,Axe Ace,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-15
698306,Axe Ace,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-15
698305,Axe Ace,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-15
698257,Tiny Whaley 2,PS5,['909games'],['Weakfish Studio'],"['Puzzle', 'Platformer']",,2024-08-15
698241,Tower,PS5,['Webnetic'],['Webnetic'],['Action'],,2024-08-16
698240,Tower,PS5,['Webnetic'],['Webnetic'],['Action'],,2024-08-16
698217,Tiny Whaley 2,PS4,['909games'],['Weakfish Studio'],"['Puzzle', 'Platformer']",,2024-08-15
698204,Dragon Break Classic Plus,PS4,['Smobile'],['Smobile'],"['Action', 'Platformer']",,2024-07-25
698203,Dragon Break Classic Plus,PS4,['Smobile'],['Smobile'],"['Action', 'Platformer']",,2024-07-25
698201,Dragon Break Classic Plus,PS5,['Smobile'],['Smobile'],"['Action', 'Platformer']",,2024-07-25
697983,Sky Oceans: Wings for Hire,PS5,['Octeto Studios'],['PQube'],"['Role Playing', 'Aerial', 'Vehicular Combat', 'Turn Based']","['Japanese', 'French', 'German', 'Chinese (simplified)']",2024-10-10
697942,Unholy,PS5,['Duality Games'],['Duality Games'],['Action-Adventure'],,2024-09-13
697927,Arcade Archives KNUCKLE HEADS,PS4,['Bandai Namco Entertainment'],['HAMSTER Corporation'],['Fighting'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Spanish (Mexico)', 'French (Canada)']",2024-08-15
697787,Cyber Mission,PS5,"['Gamenergy Studio', 'eastasiasoft']",['eastasiasoft'],"[""Shoot 'em up""]",,2024-08-21
697786,Cyber Mission,PS4,"['Gamenergy Studio', 'eastasiasoft']",['eastasiasoft'],"[""Shoot 'em up""]",,2024-08-21
697785,Cyber Mission,PS4,"['Gamenergy Studio', 'eastasiasoft']",['eastasiasoft'],"[""Shoot 'em up""]",,2024-08-21
697588,Vampire: the Masquerade - Reckoning of New York,PS4,['Draw Distance'],"['Dear Villagers', 'Plug In Digital']",['Visual Novel'],['French'],2024-09-10
697417,Color Recreator,PS4,['Enningture Game Temple'],['Enningture Game Temple'],['Puzzle'],,2024-08-07
697346,XENO CRISIS,PS5,['Bitmap Bureau'],['Numskull Games'],"[""Shoot 'em up""]","['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Dutch', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Portuguese (Brazil)']",2024-07-26
697284,Cilla,PS5,['Stamina Zero'],['Stamina Zero'],"[""Shoot 'em up""]","['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Dutch', 'Portuguese', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Finnish', 'Swedish', 'Norway', 'Polish', 'Portuguese (Brazil)', 'Turkish', 'French (Canada)', 'Czech', 'Hungarian', 'Greek', 'Romanian']",2024-08-01
697083,Rolling Wheels,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-10
697077,Boom Robots,PS4,['Revulo Games'],['Revulo Games'],['Fighting'],,2024-08-09
697075,Rolling Wheels,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-10
697068,Space Bouncer,PS4,['Zakym'],['Zakym'],['Action'],,2024-08-10
697066,Space Bouncer,PS4,['Zakym'],['Zakym'],['Action'],,2024-08-10
697065,Space Bouncer,PS5,['Zakym'],['Zakym'],['Action'],,2024-08-10
697064,Space Bouncer,PS5,['Zakym'],['Zakym'],['Action'],,2024-08-10
697062,DOOM + DOOM II,PS4,"['id Software', 'Nightdive Studios', 'MachineGames']",['Bethesda Softworks'],"['Action Horror', 'First Person Shooter', 'Collection']","['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Polish', 'Portuguese (Brazil)', 'Spanish (Mexico)']",2024-08-08
697035,Space Bouncer,PS5,['Zakym'],['Zakym'],['Action'],,2024-08-10
697009,Rolling Wheels,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-10
696987,Bowling In A Skate Park,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],"['Sports', 'Bowling']",,2024-08-09
696986,Pixicharm - Fit Frog's Feast,PS4,['Erdem Sen'],['Erdem Sen'],['Action'],,2024-08-10
696984,The Jumping Donut,PS5,['ThiGames'],['ThiGames'],['Platformer'],,2024-08-23
696964,Pixicharm - Fit Frog's Feast,PS5,['Erdem Sen'],['Erdem Sen'],['Action'],,2024-08-10
696946,Bowling In A Skate Park,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],"['Sports', 'Bowling']",,2024-08-09
696945,Bowling In A Skate Park,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],"['Sports', 'Bowling']",,2024-08-09
696844,Glowface in Love,PS4,['ThiGames'],['ThiGames'],['Platformer'],,2024-08-09
696843,Glowface in Love,PS5,['ThiGames'],['ThiGames'],['Platformer'],,2024-08-09
